id,locationName,address,websiteURL,contact,hasEBT,hasMarketMatch,rewards,coupons,position__lat,position__long,season_1_start,season_1_end,season_2_start,season_2_end,days,frequency,time_open,time_close,,searchLink,phoneNumber,email,storeType,freshFruit,freshVegetables,freshDairy,unprocessedMeat,flagged,flagReason,noInfo,permanentlyClosed,comments
0,Adams/Vermont,"1432 W Adams Blvd, Los Angeles, CA 90007",https://www.facebook.com/adamsvermontfm/,null,TRUE,TRUE,null,null,34.032965,-118.292844,Year Round,null,null,null,Wednesday,null,14:00:00,18:00:00,,"Adams/Vermont 1432 W Adams Blvd, Los Angeles, CA 90007",,,,,,,,FALSE,,FALSE,FALSE,
1,Larchmont Farmers' Market,"209 N Larchmont Blvd, Los Angeles, CA 90004",https://www.facebook.com/LarchmontVillageFM,null,TRUE,TRUE,null,null,34.074937,-118.323948,Year Round,null,null,null,Sunday,null,10:00:00,14:00:00,,"Larchmont Farmers' Market 209 N Larchmont Blvd, Los Angeles, CA 90004",,,,,,,,FALSE,,FALSE,FALSE,
2,East Hollywood Certified Farmers' Market Thursday,"5448 Hollywood Blvd, Los Angeles, CA 90027",http://www.ehfarmersmkt.com/,null,TRUE,TRUE,null,null,34.101498,-118.308518,Year Round,null,null,null,Thursday,"Thursday: $15 WIC card match, $7 WIC FMNP match",15:30:00,19:30:00,,"East Hollywood Certified Farmers' Market Thursday 5448 Hollywood Blvd, Los Angeles, CA 90027",,,,,,,,FALSE,,FALSE,FALSE,
3,East Hollywood Certified Farmers' Market Monday,"5448 Hollywood Blvd, Los Angeles, CA 90027",http://www.ehfarmersmkt.com/,null,TRUE,TRUE,null,null,34.101498,-118.308518,Year Round,null,null,null,Monday,"Monday: $15 WIC card match, $7 WIC FMNP match",15:30:00,19:30:00,,"East Hollywood Certified Farmers' Market Monday 5448 Hollywood Blvd, Los Angeles, CA 90027",,,,,,,,FALSE,,FALSE,FALSE,
4,Wellington Square,"4394 W Washington Blvd, Los Angeles, CA 90016",http://www.wellingtonsquarefarmersmarket.com/,null,TRUE,TRUE,null,null,34.039559,-118.3351,Year Round,null,null,null,Sunday,null,9:00:00,13:00:00,,"Wellington Square 4394 W Washington Blvd, Los Angeles, CA 90016",,,,,,,,FALSE,,FALSE,FALSE,
5,Hollywood Farmers' Market,"1600 Ivar Ave, Los Angeles, CA 90028",https://seela.org/markets-hollywood/,null,TRUE,TRUE,null,null,34.099583,-118.328149,Year Round,null,null,null,Sunday,null,8:00:00,13:00:00,,"Hollywood Farmers' Market 1600 Ivar Ave, Los Angeles, CA 90028",,,,,,,,FALSE,,FALSE,FALSE,
6,South Pasadena Farmers' Market,"913 Meridian Ave, South Pasadena, CA 91030",http://southpasadenafarmersmarket.org/,null,TRUE,TRUE,null,null,34.115179,-118.157513,Year Round,Year Round,null,null,Thursday,null,16:00:00,20:00:00,,"South Pasadena Farmers' Market 913 Meridian Ave, South Pasadena, CA 91030",,,,,,,,FALSE,,FALSE,FALSE,
7,Alhambra Certified Farmers' Market,"100 S 2nd St, Alhambra, CA 91801",https://www.cityofalhambra.org/resources/certified-farmers-market,null,TRUE,TRUE,null,null,34.093138,-118.12819,Year Round,null,null,null,Sunday,null,8:30:00,13:00:00,,"Alhambra Certified Farmers' Market 100 S 2nd St, Alhambra, CA 91801",,,,,,,,FALSE,,FALSE,FALSE,
8,Beverly Hills Farmers' Market,"9300 Civic Center Dr, Beverly Hills, CA 90210",http://www.beverlyhills.org/exploring/farmersmarket/,null,TRUE,TRUE,null,null,34.073657,-118.399101,Year Round,null,null,null,Sunday,null,9:00:00,13:00:00,,"Beverly Hills Farmers' Market 9300 Civic Center Dr, Beverly Hills, CA 90210",,,,,,,,FALSE,,FALSE,FALSE,
9,Economy Meats,"317 S Broadway, Los Angeles, CA 90013",null,null,TRUE,FALSE,null,null,34.050655,-118.248795,,,,,,,,,,"Economy Meats 317 S Broadway, Los Angeles, CA 90013",,,,,,,,FALSE,,FALSE,TRUE,
10,La Huerta Candy,"317 S Broadway, Los Angeles, CA 90013",https://grandcentralmarket.com/vendors/la-huerta-candy/,null,TRUE,FALSE,null,null,34.050655,-118.248795,,,,,,,,,,"La Huerta Candy 317 S Broadway, Los Angeles, CA 90013",(213) 437 - 0100,,Other,NONE,NONE,NONE,NONE,TRUE,Other,FALSE,FALSE,
11,Valeria's Groceries,"317 S Broadway, Los Angeles, CA 90013",https://grandcentralmarket.com/vendors/valerias/,null,TRUE,FALSE,null,null,34.050655,-118.248795,,,,,,,,,,"Valeria's Groceries 317 S Broadway, Los Angeles, CA 90013",(213) 625 - 0789,,Grocery,NONE,LOW,LOW,NONE,FALSE,,FALSE,FALSE,
12,Angelus Mini Market,"255 S Hill St, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.051813,-118.249647,,,,,,,,,,"Angelus Mini Market 255 S Hill St, Los Angeles, CA 90012",(213) 617-7910,,Grocery,,,,,FALSE,,TRUE,FALSE,
13,Trimana Fresh Food Market Broadway,"312 W 5th St, Los Angeles, CA 90013",null,null,TRUE,FALSE,null,null,34.048228,-118.251307,,,,,,,,,,"Trimana Fresh Food Market Broadway 312 W 5th St, Los Angeles, CA 90013",(213) 266-8342,,Grocery,LOW,LOW,LOW,NONE,FALSE,,FALSE,FALSE,
14,Fumee,"334 S Main St, Los Angeles, CA 90013",null,null,TRUE,FALSE,null,null,34.048065,-118.246861,,,,,,,,,,"Fumee 334 S Main St, Los Angeles, CA 90013",(213) 395-0462,,Convenience Store,NONE,NONE,NONE,NONE,TRUE,Liquor Store,FALSE,FALSE,
15,Dtla Pershing Square Wednesday Cfm,"532 S Olive St, Los Angeles, CA 90013",null,null,TRUE,FALSE,null,null,34.048558,-118.253287,,,,,,,,,,"Dtla Pershing Square Wednesday Cfm 532 S Olive St, Los Angeles, CA 90013",(818) 591-8161,,Farmer's Market,HIGH,HIGH,LOW,NONE,FALSE,,FALSE,FALSE,
16,Historic Los Angeles Farmers' Market,"541 S Spring St # 204, Los Angeles, CA 90013",https://www.facebook.com/HistoricFarmersMarket/,null,TRUE,FALSE,null,null,34.046777,-118.251063,,,,,,,,,,"Historic Los Angeles Farmers' Market 541 S Spring St # 204, Los Angeles, CA 90013",,beatriz@sfma.net,Farmer's Market,HIGH,HIGH,LOW,NONE,FALSE,,FALSE,FALSE,
17,Village Mini Mart,"113 E 5th St, Los Angeles, CA 90013",null,null,TRUE,FALSE,null,null,34.04654,-118.248095,,,,,,,,,,"Village Mini Mart 113 E 5th St, Los Angeles, CA 90013",(213) 623-2499,,Convenience Store,LOW,NONE,NONE,NONE,FALSE,,FALSE,FALSE,
