id,locationName,address,hasEBT,hasMarketMatch,rewards,coupons,position__lat,position__long,season_1_start,season_1_end,season_2_start,season_2_end,days,frequency,time_open,time_close,sylmarDistance,searchLink,phoneNumber,websiteURL,storeType,freshFruit,freshVegetables,freshDairy,unprocessedMeat,flagged,flagReason,noInfo,permanentlyClosed,comments
5,Mimi Market,"12923 San Fernando Rd, Sylmar, CA 91342",TRUE,FALSE,null,null,34.304894,-118.466998,,,,,,,,,69,"Mimi Market 12923 San Fernando Rd, Sylmar, CA 91342",(818) 617-0347,null,Grocery,LOW,HIGH,NONE,NONE,FALSE,,FALSE,FALSE,
11,Kwik Market And Deli,"15675 Roxford St, Sylmar, CA 91342",TRUE,FALSE,null,null,34.310028,-118.473645,,,,,,,,,772,"Kwik Market And Deli 15675 Roxford St, Sylmar, CA 91342",null,null,Restaurant,NONE,NONE,NONE,NONE,FALSE,,FALSE,FALSE,primarily focused on selling sandwiches
2,Vallarta Supermarket #7,"12881 Bradley Ave, Sylmar, CA 91342",TRUE,FALSE,null,null,34.303289,-118.458771,,,,,,,,,846,"Vallarta Supermarket #7 12881 Bradley Ave, Sylmar, CA 91342",null,null,,,,,,FALSE,,FALSE,FALSE,
4,Sylmar Market,"12831 Norris Ave, Sylmar, CA 91342",TRUE,FALSE,null,null,34.303296,-118.454226,,,,,,,,,1255,"Sylmar Market 12831 Norris Ave, Sylmar, CA 91342",null,null,DON'T INCLUDE,,,,,FALSE,,TRUE,FALSE,
3,Hacienda Market,"12441 San Fernando Rd, Sylmar, CA 91342",TRUE,FALSE,null,null,34.296536,-118.456324,,,,,,,,,1418,"Hacienda Market 12441 San Fernando Rd, Sylmar, CA 91342",(818) 833-4505,null,Meat,LOW,HIGH,HIGH,HIGH,FALSE,,FALSE,FALSE,they picked up the phone!
15,Carniceria La Esperanza,"13569 Glenoaks Blvd, Sylmar, CA 91342",TRUE,FALSE,null,null,34.318378,-118.464463,,,,,,,,,1503,"Carniceria La Esperanza 13569 Glenoaks Blvd, Sylmar, CA 91342",null,null,Meat,NONE,NONE,NONE,HIGH,FALSE,,FALSE,FALSE,
18,El Rancho Plaza Market,"13566 Glenoaks Blvd, Sylmar, CA 91342",TRUE,FALSE,null,null,34.318845,-118.463905,,,,,,,,,1565,"El Rancho Plaza Market 13566 Glenoaks Blvd, Sylmar, CA 91342",null,null,Restaurant,NONE,NONE,NONE,LOW,FALSE,,FALSE,FALSE,"meat store on store sign with pictures, but lacking more information"
19,La Chuleta Fresca Prime & Grill #2,"13566 Glenoaks Blvd, Sylmar, CA 91342",TRUE,FALSE,null,null,34.318848,-118.463907,,,,,,,,,1565,"La Chuleta Fresca Prime & Grill #2 13566 Glenoaks Blvd, Sylmar, CA 91342",(818) 639-0294,null,Meat,NONE,NONE,NONE,HIGH,FALSE,,FALSE,FALSE,
37,Pdq Mart & Deli,"15973 Yarnell St, Sylmar, CA 91342",TRUE,FALSE,null,null,34.322098,-118.479539,,,,,,,,,2180,"Pdq Mart & Deli 15973 Yarnell St, Sylmar, CA 91342",null,null,DON'T INCLUDE,NONE,NONE,NONE,NONE,FALSE,Other (Not Recommended),TRUE,FALSE,Equivalent Selection to Gas Station
27,Gnc Properties Inc #2654323,"15000 Olive View Dr, Sylmar, CA 91342",TRUE,FALSE,null,null,34.324315,-118.459684,,,,,,,,,2258,"Gnc Properties Inc #2654323 15000 Olive View Dr, Sylmar, CA 91342",null,null,DON'T INCLUDE,,,,,FALSE,Gas Station,TRUE,FALSE,
6,"Hmz, Inc #82847","1753 Truman St, San Fernando, CA 91340",TRUE,FALSE,null,null,34.291217,-118.4491,,,,,,,,,2307,"Hmz, Inc #82847 1753 Truman St, San Fernando, CA 91340",null,null,DON'T INCLUDE,,,,,FALSE,Gas Station,TRUE,FALSE,
8,American Dollar Plus Llc #Ste 17,"12737 Glenoaks Blvd, Sylmar, CA 91342",TRUE,FALSE,null,null,34.301443,-118.442907,,,,,,,,,2316,"American Dollar Plus Llc #Ste 17 12737 Glenoaks Blvd, Sylmar, CA 91342",null,null,DON'T INCLUDE,,,,,FALSE,Dollar Store,TRUE,FALSE,
7,El Progreso Market,"1701 Truman St, San Fernando, CA 91340",TRUE,FALSE,null,null,34.290691,-118.448161,,,,,,,,,2411,"El Progreso Market 1701 Truman St, San Fernando, CA 91340",null,null,Grocery,LOW,LOW,,,FALSE,,TRUE,FALSE,"Missing information, would not include"
9,Food 4 Less,"12689 Glenoaks Blvd, Sylmar, CA 91342",TRUE,FALSE,null,null,34.299754,-118.441947,,,,,,,,,2442,"Food 4 Less 12689 Glenoaks Blvd, Sylmar, CA 91342",null,null,Big Grocery,HIGH,HIGH,HIGH,HIGH,FALSE,,FALSE,FALSE,
10,Big Lots #4447,"12716 Glenoaks Blvd, Sylmar, CA 91342",TRUE,FALSE,null,null,34.301446,-118.441296,,,,,,,,,2462,"Big Lots #4447 12716 Glenoaks Blvd, Sylmar, CA 91342",null,null,,,,,,TRUE,Other (Not Recommended),FALSE,TRUE,
31,Olive View Medical Center Cfm,"14445 Olive View Dr, Sylmar, CA 91342",TRUE,FALSE,null,null,34.325759,-118.45104,,,,,,,,,2759,"Olive View Medical Center Cfm 14445 Olive View Dr, Sylmar, CA 91342",null,null,Farmer's Market,HIGH,HIGH,NONE,NONE,FALSE,,FALSE,FALSE,"Farmer's Market, would validate meat and dairy columns"
12,Smart & Final #323,"2040 Glenoaks Blvd, San Fernando, CA 91340",TRUE,FALSE,null,null,34.298568,-118.438717,,,,,,,,,2763,"Smart & Final #323 2040 Glenoaks Blvd, San Fernando, CA 91340",null,null,Big Grocery,HIGH,HIGH,HIGH,HIGH,FALSE,,FALSE,FALSE,
20,G&M #127,"11501 Sepulveda Blvd, Mission Hills, CA 91345",TRUE,FALSE,null,null,34.279632,-118.469121,,,,,,,,,2842,"G&M #127 11501 Sepulveda Blvd, Mission Hills, CA 91345",null,null,DON'T INCLUDE,,,,,TRUE,Gas Station,FALSE,FALSE,
13,Vallarta Supermarket,"757 S Workman St, San Fernando, CA 91340",TRUE,FALSE,null,null,34.28268,-118.452543,,,,,,,,,2862,"Vallarta Supermarket 757 S Workman St, San Fernando, CA 91340",null,null,Big Grocery,HIGH,HIGH,HIGH,HIGH,FALSE,,FALSE,FALSE,
14,Rite Aid,"14727 Rinaldi St, San Fernando, CA 91340",TRUE,FALSE,null,null,34.281158,-118.454448,,,,,,,,,2934,"Rite Aid 14727 Rinaldi St, San Fernando, CA 91340",null,null,Pharmacy,NONE,NONE,NONE,NONE,FALSE,,FALSE,FALSE,Would omit from the overall list
21,Villalongin Market,"13947 Foothill Blvd #101, Sylmar, CA 91342",TRUE,FALSE,null,null,34.313497,-118.43732,,,,,,,,,2943,"Villalongin Market 13947 Foothill Blvd #101, Sylmar, CA 91342",(818) 367-2625,null,Bakery,NONE,NONE,NONE,HIGH,FALSE,,FALSE,FALSE,Would omit from the overall list
24,Store #68540,"15540 Rinaldi St, Granada Hills, CA 91344",TRUE,FALSE,null,null,34.278685,-118.470748,,,,,,,,,2958,"Store #68540 15540 Rinaldi St, Granada Hills, CA 91344",null,null,DON'T INCLUDE,,,,,TRUE,Gas Station,FALSE,FALSE,Would omit from the overall list
